NAME,Percent in public school—Population 3 years and over enrolled in school—Estimate,MoE
Census Tract 1.01,97.40%,± 4.2%
Census Tract 1.02,83.40%,± 11.6%
Census Tract 1.03,86.30%,± 6.7%
Census Tract 1.04,100%,± 6.5%
Census Tract 1.05,93%,± 5.6%
Census Tract 10,95%,± 3.8%
Census Tract 101.01,96.30%,± 2.8%
Census Tract 101.02,92.10%,± 6.9%
Census Tract 102,91.30%,± 4.1%
Census Tract 103,93.10%,± 5.5%
Census Tract 104,94.30%,± 5.5%
Census Tract 105,91.60%,± 6.3%
Census Tract 106,76.20%,± 12.4%
Census Tract 11.01,98.90%,± 1.5%
Census Tract 11.02,99.20%,± 1.3%
Census Tract 12,100%,± 5.2%
Census Tract 13.02,94.90%,± 3.8%
Census Tract 13.03,96.30%,± 3.6%
Census Tract 13.04,98.10%,± 2.1%
Census Tract 2,94.20%,± 5.1%
Census Tract 3,89%,± 11.7%
Census Tract 4,93.30%,± 6.6%
Census Tract 5,100%,± 0.5%
Census Tract 6,90.50%,± 6.1%
Census Tract 7,92.90%,± 3.3%
Census Tract 8,100%,± 0.5%
Census Tract 9,78.50%,± 12.2%